Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,5/2/10,24924.5,FALSE
1,1,12/2/10,46039.49,TRUE
1,1,19/02/2010,41595.55,FALSE
1,1,26/02/2010,19403.54,FALSE
1,1,5/3/10,21827.9,FALSE
1,1,12/3/10,21043.39,FALSE
1,1,19/03/2010,22136.64,FALSE
1,1,26/03/2010,26229.21,FALSE
1,1,2/4/10,57258.43,FALSE
1,1,9/4/10,42960.91,FALSE
1,1,16/04/2010,17596.96,FALSE
1,1,23/04/2010,16145.35,FALSE
1,1,30/04/2010,16555.11,FALSE
1,1,7/5/10,17413.94,FALSE
1,1,14/05/2010,18926.74,FALSE
1,1,21/05/2010,14773.04,FALSE
1,1,28/05/2010,15580.43,FALSE
1,1,4/6/10,17558.09,FALSE
1,1,11/6/10,16637.62,FALSE
1,1,18/06/2010,16216.27,FALSE
1,1,25/06/2010,16328.72,FALSE
1,1,2/7/10,16333.14,FALSE
1,1,9/7/10,17688.76,FALSE
1,1,16/07/2010,17150.84,FALSE
1,1,23/07/2010,15360.45,FALSE
1,1,30/07/2010,15381.82,FALSE
1,1,6/8/10,17508.41,FALSE
1,1,13/08/2010,15536.4,FALSE
1,1,20/08/2010,15740.13,FALSE
1,1,27/08/2010,15793.87,FALSE
1,1,3/9/10,16241.78,FALSE
1,1,10/9/10,18194.74,TRUE
1,1,17/09/2010,19354.23,FALSE
1,1,24/09/2010,18122.52,FALSE
1,1,1/10/10,20094.19,FALSE
1,1,8/10/10,23388.03,FALSE
1,1,15/10/2010,26978.34,FALSE
1,1,22/10/2010,25543.04,FALSE
1,1,29/10/2010,38640.93,FALSE
1,1,5/11/10,34238.88,FALSE
1,1,12/11/10,19549.39,FALSE
1,1,19/11/2010,19552.84,FALSE
1,1,26/11/2010,18820.29,TRUE
1,1,3/12/10,22517.56,FALSE
1,1,10/12/10,31497.65,FALSE
1,1,17/12/2010,44912.86,FALSE
1,1,24/12/2010,55931.23,FALSE
1,1,31/12/2010,19124.58,TRUE
1,1,7/1/11,15984.24,FALSE
1,1,14/01/2011,17359.7,FALSE
1,1,21/01/2011,17341.47,FALSE
1,1,28/01/2011,18461.18,FALSE
1,1,4/2/11,21665.76,FALSE
1,1,11/2/11,37887.17,TRUE
1,1,18/02/2011,46845.87,FALSE
1,1,25/02/2011,19363.83,FALSE
1,1,4/3/11,20327.61,FALSE
1,1,11/3/11,21280.4,FALSE
1,1,18/03/2011,20334.23,FALSE
1,1,25/03/2011,20881.1,FALSE
1,1,1/4/11,20398.09,FALSE
1,1,8/4/11,23873.79,FALSE
1,1,15/04/2011,28762.37,FALSE
1,1,22/04/2011,50510.31,FALSE
1,1,29/04/2011,41512.39,FALSE
1,1,6/5/11,20138.19,FALSE
1,1,13/05/2011,17235.15,FALSE
1,1,20/05/2011,15136.78,FALSE
1,1,27/05/2011,15741.6,FALSE
1,1,3/6/11,16434.15,FALSE
1,1,10/6/11,15883.52,FALSE
1,1,17/06/2011,14978.09,FALSE
1,1,24/06/2011,15682.81,FALSE
1,1,1/7/11,15363.5,FALSE
1,1,8/7/11,16148.87,FALSE
1,1,15/07/2011,15654.85,FALSE
1,1,22/07/2011,15766.6,FALSE
1,1,29/07/2011,15922.41,FALSE
1,1,5/8/11,15295.55,FALSE
1,1,12/8/11,14539.79,FALSE
1,1,19/08/2011,14689.24,FALSE
1,1,26/08/2011,14537.37,FALSE
1,1,2/9/11,15277.27,FALSE
1,1,9/9/11,17746.68,TRUE
1,1,16/09/2011,18535.48,FALSE
1,1,23/09/2011,17859.3,FALSE
1,1,30/09/2011,18337.68,FALSE
1,1,7/10/11,20797.58,FALSE
1,1,14/10/2011,23077.55,FALSE
1,1,21/10/2011,23351.8,FALSE
1,1,28/10/2011,31579.9,FALSE
1,1,4/11/11,39886.06,FALSE
1,1,11/11/11,18689.54,FALSE
1,1,18/11/2011,19050.66,FALSE
1,1,25/11/2011,20911.25,TRUE
1,1,2/12/11,25293.49,FALSE
1,1,9/12/11,33305.92,FALSE
1,1,16/12/2011,45773.03,FALSE
1,1,23/12/2011,46788.75,FALSE
1,1,30/12/2011,23350.88,TRUE
1,1,6/1/12,16567.69,FALSE
1,1,13/01/2012,16894.4,FALSE
1,1,20/01/2012,18365.1,FALSE
1,1,27/01/2012,18378.16,FALSE
1,1,3/2/12,23510.49,FALSE
1,1,10/2/12,36988.49,TRUE
1,1,17/02/2012,54060.1,FALSE
1,1,24/02/2012,20124.22,FALSE
1,1,2/3/12,20113.03,FALSE
1,1,9/3/12,21140.07,FALSE
1,1,16/03/2012,22366.88,FALSE
1,1,23/03/2012,22107.7,FALSE
1,1,30/03/2012,28952.86,FALSE
1,1,6/4/12,57592.12,FALSE
1,1,13/04/2012,34684.21,FALSE
1,1,20/04/2012,16976.19,FALSE
1,1,27/04/2012,16347.6,FALSE
1,1,4/5/12,17147.44,FALSE
1,1,11/5/12,18164.2,FALSE
1,1,18/05/2012,18517.79,FALSE
1,1,25/05/2012,16963.55,FALSE
1,1,1/6/12,16065.49,FALSE
1,1,8/6/12,17666,FALSE
1,1,15/06/2012,17558.82,FALSE
1,1,22/06/2012,16633.41,FALSE
1,1,29/06/2012,15722.82,FALSE
1,1,6/7/12,17823.37,FALSE
1,1,13/07/2012,16566.18,FALSE
1,1,20/07/2012,16348.06,FALSE
1,1,27/07/2012,15731.18,FALSE
1,1,3/8/12,16628.31,FALSE
1,1,10/8/12,16119.92,FALSE
1,1,17/08/2012,17330.7,FALSE
1,1,24/08/2012,16286.4,FALSE
1,1,31/08/2012,16680.24,FALSE
1,1,7/9/12,18322.37,TRUE
1,1,14/09/2012,19616.22,FALSE
1,1,21/09/2012,19251.5,FALSE
1,1,28/09/2012,18947.81,FALSE
1,1,5/10/12,21904.47,FALSE
1,1,12/10/12,22764.01,FALSE
1,1,19/10/2012,24185.27,FALSE
1,1,26/10/2012,27390.81,FALSE
1,2,5/2/10,50605.27,FALSE
1,2,12/2/10,44682.74,TRUE
1,2,19/02/2010,47928.89,FALSE
1,2,26/02/2010,44292.87,FALSE
1,2,5/3/10,48397.98,FALSE
1,2,12/3/10,43751.94,FALSE
1,2,19/03/2010,43615.49,FALSE
1,2,26/03/2010,41892.55,FALSE
1,2,2/4/10,47450.5,FALSE
1,2,9/4/10,46549.73,FALSE
1,2,16/04/2010,45025.02,FALSE
1,2,23/04/2010,44418.11,FALSE
1,2,30/04/2010,45971.3,FALSE
1,2,7/5/10,47903.01,FALSE
1,2,14/05/2010,43675.61,FALSE
1,2,21/05/2010,44319.15,FALSE
1,2,28/05/2010,44619.52,FALSE
1,2,4/6/10,48754.47,FALSE
1,2,11/6/10,47089.54,FALSE
1,2,18/06/2010,44428.71,FALSE
1,2,25/06/2010,45299.92,FALSE
1,2,2/7/10,47077.72,FALSE
1,2,9/7/10,46752.12,FALSE
1,2,16/07/2010,44339.2,FALSE
1,2,23/07/2010,44763.33,FALSE
1,2,30/07/2010,45833.77,FALSE
1,2,6/8/10,50031.73,FALSE
1,2,13/08/2010,45475.69,FALSE
1,2,20/08/2010,49754.17,FALSE
1,2,27/08/2010,49623.53,FALSE
1,2,3/9/10,49015.05,FALSE
1,2,10/9/10,45182.5,TRUE
1,2,17/09/2010,44681.64,FALSE
1,2,24/09/2010,42477.49,FALSE
1,2,1/10/10,45829.02,FALSE
1,2,8/10/10,46387.54,FALSE
1,2,15/10/2010,43110.79,FALSE
1,2,22/10/2010,42371.48,FALSE
1,2,29/10/2010,44081.33,FALSE
1,2,5/11/10,46381.43,FALSE
1,2,12/11/10,43194.49,FALSE
1,2,19/11/2010,41443.25,FALSE
1,2,26/11/2010,45681.98,TRUE
1,2,3/12/10,44405.02,FALSE
1,2,10/12/10,46955.82,FALSE
1,2,17/12/2010,49303.28,FALSE
1,2,24/12/2010,59889.32,FALSE
1,2,31/12/2010,35819.83,TRUE
1,2,7/1/11,43202.29,FALSE
1,2,14/01/2011,39857.4,FALSE
1,2,21/01/2011,41596.99,FALSE
1,2,28/01/2011,41651.01,FALSE
1,2,4/2/11,46829.12,FALSE
1,2,11/2/11,47595.35,TRUE
1,2,18/02/2011,49202.06,FALSE
1,2,25/02/2011,46165.25,FALSE
1,2,4/3/11,53035.54,FALSE
1,2,11/3/11,48465.72,FALSE
1,2,18/03/2011,45222.3,FALSE
1,2,25/03/2011,44293.54,FALSE
1,2,1/4/11,46991.58,FALSE
1,2,8/4/11,48501.79,FALSE
1,2,15/04/2011,44464.74,FALSE
1,2,22/04/2011,46544.56,FALSE
1,2,29/04/2011,43682.41,FALSE
1,2,6/5/11,50139.92,FALSE
1,2,13/05/2011,44274.15,FALSE
1,2,20/05/2011,44302.11,FALSE
1,2,27/05/2011,45072.11,FALSE
1,2,3/6/11,47844.27,FALSE
1,2,10/6/11,46363.93,FALSE
1,2,17/06/2011,42939.63,FALSE
1,2,24/06/2011,42415.81,FALSE
1,2,1/7/11,45247.74,FALSE
1,2,8/7/11,44623.23,FALSE
1,2,15/07/2011,43260.96,FALSE
1,2,22/07/2011,45113.56,FALSE
1,2,29/07/2011,43191.02,FALSE
1,2,5/8/11,49359.75,FALSE
1,2,12/8/11,45341.92,FALSE
1,2,19/08/2011,46391.12,FALSE
1,2,26/08/2011,47659.93,FALSE
1,2,2/9/11,49419.75,FALSE
1,2,9/9/11,43315.85,TRUE
1,2,16/09/2011,42963.96,FALSE
1,2,23/09/2011,43390.94,FALSE
1,2,30/09/2011,46045.09,FALSE
1,2,7/10/11,49880.69,FALSE
1,2,14/10/2011,43306.38,FALSE
1,2,21/10/2011,42487.67,FALSE
1,2,28/10/2011,41682.4,FALSE
1,2,4/11/11,47313.62,FALSE
1,2,11/11/11,44936.47,FALSE
1,2,18/11/2011,43997.78,FALSE
1,2,25/11/2011,44259.59,TRUE
1,2,2/12/11,45928.14,FALSE
1,2,9/12/11,49357.43,FALSE
1,2,16/12/2011,51137.42,FALSE
1,2,23/12/2011,65615.36,FALSE
1,2,30/12/2011,43539.94,TRUE
1,2,6/1/12,44481.38,FALSE
1,2,13/01/2012,43353.09,FALSE
1,2,20/01/2012,43753.43,FALSE
1,2,27/01/2012,41556.23,FALSE
1,2,3/2/12,54322.24,FALSE
1,2,10/2/12,50581.06,TRUE
1,2,17/02/2012,46085.47,FALSE
1,2,24/02/2012,47080.12,FALSE
1,2,2/3/12,52608.51,FALSE
1,2,9/3/12,48563.69,FALSE
1,2,16/03/2012,47346.32,FALSE
1,2,23/03/2012,44796.03,FALSE
1,2,30/03/2012,46529.68,FALSE
1,2,6/4/12,51805.88,FALSE
1,2,13/04/2012,43991.18,FALSE
1,2,20/04/2012,45561.85,FALSE
1,2,27/04/2012,45456.23,FALSE
1,2,4/5/12,50501.3,FALSE
1,2,11/5/12,46717.76,FALSE
1,2,18/05/2012,44411.23,FALSE
1,2,25/05/2012,45817.07,FALSE
1,2,1/6/12,47425.29,FALSE
1,2,8/6/12,49439.58,FALSE
1,2,15/06/2012,46637.48,FALSE
1,2,22/06/2012,46075,FALSE
1,2,29/06/2012,47629.14,FALSE
1,2,6/7/12,49771.92,FALSE
1,2,13/07/2012,44411.95,FALSE
1,2,20/07/2012,45108.22,FALSE
1,2,27/07/2012,45008.22,FALSE
1,2,3/8/12,49424.06,FALSE
1,2,10/8/12,46729.91,FALSE
1,2,17/08/2012,46350.97,FALSE
1,2,24/08/2012,44972.52,FALSE
1,2,31/08/2012,50995.5,FALSE
1,2,7/9/12,47344.5,TRUE
1,2,14/09/2012,44493.61,FALSE
1,2,21/09/2012,43541.07,FALSE
1,2,28/09/2012,45784.76,FALSE
1,2,5/10/12,48577.08,FALSE
1,2,12/10/12,42112.67,FALSE
