Store,Dept,Date,Weekly_Sales,IsHoliday
2,1,5/2/10,35034.06,FALSE
2,1,12/2/10,60483.7,TRUE
2,1,19/02/2010,58221.52,FALSE
2,1,26/02/2010,25962.32,FALSE
2,1,5/3/10,27372.05,FALSE
2,1,12/3/10,28660.87,FALSE
2,1,19/03/2010,28446.92,FALSE
2,1,26/03/2010,32213.99,FALSE
2,1,2/4/10,82766.07,FALSE
2,1,9/4/10,66560,FALSE
2,1,16/04/2010,21308.59,FALSE
2,1,23/04/2010,22163.12,FALSE
2,1,30/04/2010,24066.2,FALSE
2,1,7/5/10,26191.58,FALSE
2,1,14/05/2010,25876.55,FALSE
2,1,21/05/2010,22689.01,FALSE
2,1,28/05/2010,22899.73,FALSE
2,1,4/6/10,23869.17,FALSE
2,1,11/6/10,24549.01,FALSE
2,1,18/06/2010,23918.56,FALSE
2,1,25/06/2010,23757.36,FALSE
2,1,2/7/10,23803.34,FALSE
2,1,9/7/10,23707.54,FALSE
2,1,16/07/2010,23727.77,FALSE
2,1,23/07/2010,21139.52,FALSE
2,1,30/07/2010,22749.21,FALSE
2,1,6/8/10,22795.72,FALSE
2,1,13/08/2010,21933.3,FALSE
2,1,20/08/2010,22126.52,FALSE
2,1,27/08/2010,21264.66,FALSE
2,1,3/9/10,23901.32,FALSE
2,1,10/9/10,25710.17,TRUE
2,1,17/09/2010,26266.39,FALSE
2,1,24/09/2010,26127.76,FALSE
2,1,1/10/10,27023.35,FALSE
2,1,8/10/10,31524.86,FALSE
2,1,15/10/2010,34924.59,FALSE
2,1,22/10/2010,40755.17,FALSE
2,1,29/10/2010,56903.47,FALSE
2,1,5/11/10,46198.84,FALSE
2,1,12/11/10,22794.09,FALSE
2,1,19/11/2010,24363.72,FALSE
2,1,26/11/2010,24513.63,TRUE
2,1,3/12/10,30662.62,FALSE
2,1,10/12/10,44451.34,FALSE
2,1,17/12/2010,64512.46,FALSE
2,1,24/12/2010,82523.73,FALSE
2,1,31/12/2010,28482.71,TRUE
2,1,7/1/11,19092.94,FALSE
2,1,14/01/2011,22159.74,FALSE
2,1,21/01/2011,23088.16,FALSE
2,1,28/01/2011,25461.57,FALSE
2,1,4/2/11,29606.98,FALSE
2,1,11/2/11,51382.63,TRUE
2,1,18/02/2011,62706.27,FALSE
2,1,25/02/2011,22631.87,FALSE
2,1,4/3/11,25562.33,FALSE
2,1,11/3/11,26025.39,FALSE
2,1,18/03/2011,25405.55,FALSE
2,1,25/03/2011,23880.58,FALSE
2,1,1/4/11,24591.68,FALSE
2,1,8/4/11,28223.45,FALSE
2,1,15/04/2011,34644.85,FALSE
2,1,22/04/2011,72065.08,FALSE
2,1,29/04/2011,57905.55,FALSE
2,1,6/5/11,24658.53,FALSE
2,1,13/05/2011,22484.33,FALSE
2,1,20/05/2011,21590.53,FALSE
2,1,27/05/2011,21334.34,FALSE
2,1,3/6/11,22174.12,FALSE
2,1,10/6/11,21554.22,FALSE
2,1,17/06/2011,22431.56,FALSE
2,1,24/06/2011,21426.72,FALSE
2,1,1/7/11,21706.59,FALSE
2,1,8/7/11,21037.47,FALSE
2,1,15/07/2011,20810.61,FALSE
2,1,22/07/2011,20456.83,FALSE
2,1,29/07/2011,20783.05,FALSE
2,1,5/8/11,20875.73,FALSE
2,1,12/8/11,20580.3,FALSE
2,1,19/08/2011,21324.65,FALSE
2,1,26/08/2011,21642.33,FALSE
2,1,2/9/11,23645.73,FALSE
2,1,9/9/11,22549.64,TRUE
2,1,16/09/2011,23973.86,FALSE
2,1,23/09/2011,24204.22,FALSE
2,1,30/09/2011,24949.42,FALSE
2,1,7/10/11,28071.56,FALSE
2,1,14/10/2011,29264.62,FALSE
2,1,21/10/2011,33205.32,FALSE
2,1,28/10/2011,43490.95,FALSE
2,1,4/11/11,55729.13,FALSE
2,1,11/11/11,23151.55,FALSE
2,1,18/11/2011,23923.11,FALSE
2,1,25/11/2011,25542.74,TRUE
2,1,2/12/11,29959.08,FALSE
2,1,9/12/11,43639.97,FALSE
2,1,16/12/2011,63109.72,FALSE
